No entries exist for	Ҳеч вурудӣ вуҷуд надорад барои
No entries exist starting with this letter.	Ҳеч вурудӣ, ки бо ин ҳарф сар шавад, вуҷуд надорад.
Because of the brevity of your search term, partial search was omitted.	Ба далели кӯтоҳ будани калимаи ҷустуҷӯи шумо, ҷустуҷӯи ҷузъӣ ҳазф шуд.
Click here to include searching through partial words.	Барои дар бар гирифтани ҷустуҷӯ бо калимаҳои ҷузъӣ, инҷоро зер кунед.
All Parts of Speech	Ҳама ҳиссаҳои нутқ
All Languages	Ҳама забонҳо
Search	Ҷустуҷӯ
Number of entries	Шумораи вурудиҳо
Date published:	Торихи нашр:
Match whole words 	Мутобиқ ба калимаҳои пурра
Match accents and tones	Мутобиқ ба аломатҳои диакритикӣ
Publication Status	Ҳолати нашр
Rough draft	Сиёҳнавис
Self-reviewed draft	Пешнависи худ баррасишуда
Community-reviewed draft	Пешнависи дар ҷомеа баррасишуда
Consultant approved	Аз ҷониби мушовир тасдиқшуда
Finished (no formal publication)	Анҷом ёфт (бе интишорӣ расмӣ)
Formally published 	Расман нашршуда
